Rank,Word,POS,Semantics,Special,Person?,Object?,Entity?,Concept?,Event?,Number?,Plants?,Animals?,Location?,Time?,Process?,Action?,Quality?,Quantity?,"Superlative[0,0.3,0.6,1]","Negative/Neutral/Positive[-1,0,1]",Question,1st Person,2nd Person,3rd Person,Possession,Number,Ordinal,"Past/Present/Future[-1,0,1]","Singular/Plural[-1,1]",Male/Female,Concrete/Abstract
753,buildings,n,"[building], plural",,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,called,v,"[call], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,could,v,[can],,0,0,,,,,0,0,0,1,0,1,0,0,0,0,,,,,,,,,,0,0
804,canadian,j,[canada],,,,,,,,,,,,,,,,,,,,,,,,,,,,
794,championships,n,"[championship], plural",,,,,,,,,,,,,,,,,,,,,,,,,,,,
812,changed,v,"[change], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
972,changes,n,"[change], plural",,,,,,,,,,,,,,,,,,,,,,,,,,,,
711,chinese,j,[china],,,,,,,,,,,,,,,,,,,,,,,,,,,,
906,closed,v,"[close], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,came,v,[come],,,,,,,,,,,,,,,,,,,,,,,,,,,,
884,companies,n,"[company], plural",,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,completed,v,[complete],,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,considered,v,[consider],,,,,,,,,,,,,,,,,,,,,,,,,,,,
942,contains,v,"[contain], singular",,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,continued,v,[continue],,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,countries,n,"[country], plural",,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,created,v,[create],,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,days,n,"[day], plural",,,,,,,,,,,,,,,,,,,,,,,,,,,,
735,decided,v,"[decide], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
867,defeated,v,"[defeat], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,described,v,[describe],,,,,,,,,,,,,,,,,,,,,,,,,,,,
571,designed,v,[design],,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,developed,j,[develop],,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,died,v,[die],,,,,,,,,,,,,,,,,,,,,,,,,,,,
718,directed,v,"[direct], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,does,v,[do],,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,did,v,"[do], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
868,earlier,m,"[early], time",,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,eastern,j,[east],,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,elected,v,[elect],,,,,,,,,,,,,,,,,,,,,,,,,,,,
853,ended,v,"[end], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,english,j,[england],,,,,,,,,,,,,,,,,,,,,,,,,,,,
938,entered,v,"[enter], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,established,v,[establish],,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,events,n,[event],,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,families,n,"[family], plural",,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,further,a,[far],,,,,,,,,,,,,,,,,,,,,,,,,,,,
570,features,n,[feature],,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,featured,v,"[feature], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
720,films,n,"[film], plural",,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,found,v,"[find], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,finished,v,"[finish], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,followed,v,[follow],,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,following,v,"[follow], preposition",,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,forces,n,"[force], plural",,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,formed,v,[form],,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,founded,v,[found],,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,french,j,[france],,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,games,n,"[game], plural",,,,,,,,,,,,,,,,,,,,,,,,,,,,
825,generally,r,[general],,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,german,j,[germany],,,,,,,,,,,,,,,,,,,,,,,,,,,,
583,gave,v,[give],,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,went,v,[go],,,,,,,,,,,,,,,,,,,,,,,,,,,,
979,going,v,"[go], present",,,,,,,,,,,,,,,,,,,,,,,,,,,,
961,goals,n,"[goal], plural",,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,groups,n,"[group], plural",,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,having,v,[have],,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,had,v,"[have], past",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,has,v,"[have], third person",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,him,p,[he],1,1,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
18,his,a,"[he], possessive",1,1,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,-1,0
760,higher,j,"[high], superlative [0.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
862,highest,j,"[high], superlative [1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
779,historic,j,[history],,,,,,,,,,,,,,,,,,,,,,,,,,,,
973,historical,r,[history],,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,held,v,"[hold], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
996,hours,n,"[hour], plural",,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,included,v,[include],,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,including,i,"[include], preposition",,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
619,includes,v,"[include], singular",,,,,,,,,,,,,,,,,,,,,,,,,,,,
964,increased,v,"[increase], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,indian,j,[india],,,,,,,,,,,,,,,,,,,,,,,,,,,,
841,initially,r,[initial],,,,,,,,,,,,,,,,,,,,,,,,,,,,
741,introduced,v,"[introduce], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,involved,v,[involve],,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,was,v,"[is], past",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,are,v,"[is], plural",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
919,issues,n,"[issue], plural",,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,its,a,"[it], possessive",1,0,1,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
864,italian,j,[italy],,,,,,,,,,,,,,,,,,,,,,,,,,,,
729,japanese,j,[japan],,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,joined,v,[join],,,,,,,,,,,,,,,,,,,,,,,,,,,,
689,killed,v,"[kill], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,known,v,"[know], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,largest,j,"[large], superlative[1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
935,launched,v,"[launch], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,led,v,[lead],,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,leading,v,"[lead], present",,,,,,,,,,,,,,,,,,,,,,,,,,,,
827,limited,j,[limit],,,,,,,,,,,,,,,,,,,,,,,,,,,,
954,lines,n,"[line], plural",,,,,,,,,,,,,,,,,,,,,,,,,,,,
755,listed,v,"[list], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,living,j,[live],,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,lived,v,"[live], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,located,v,"[locate], verb",,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,lost,v,[lose],,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,making,v,[make],,,,,,,,,,,,,,,,,,,,,,,,,,,,
714,female,j,"[-male], feminine",,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,men,n,"[man], plural",,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,married,v,[marry],,,,,,,,,,,,,,,,,,,,,,,,,,,,
950,matches,n,"[match], plural",,,,,,,,,,,,,,,,,,,,,,,,,,,,
898,means,v,"[mean], singular",,,,,,,,,,,,,,,,,,,,,,,,,,,,
860,met,v,[meet],,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,members,n,"[member], plural",,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,months,n,"[month], plural",,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,moved,v,[move],,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,named,v,"[name], verb",,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,national,j,"[nation], adjective",,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0
678,previous,m,[-next],,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,northern,j,[north],,,,,,,,,,,,,,,,,,,,,,,,,,,,
903,noted,v,"[note], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
911,older,j,"[old], superlative [0.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,opened,v,[open],,,,,,,,,,,,,,,,,,,,,,,,,,,,
887,opening,v,"[open], present",,,,,,,,,,,,,,,,,,,,,,,,,,,,
734,operations,n,"[operation], plural",,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,original,a,[origin],,,,,,,,,,,,,,,,,,,,,,,,,,,,
737,owned,v,"[own], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
763,parts,n,"[part], plural",,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,performed,v,"[perform], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
712,placed,v,"[place], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
908,places,n,"[place], plural",,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,playing,v,[play],,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,played,v,"[play], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,players,n,[player],,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,points,n,[point],,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,previously,r,[previous],,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,produced,v,[produce],,,,,,,,,,,,,,,,,,,,,,,,,,,,
933,programs,n,"[program], plural",,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,provided,v,"[provide], plural",,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,published,v,[publish],,,,,,,,,,,,,,,,,,,,,,,,,,,,
709,reached,v,"[reach], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,received,v,"[receive], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,recorded,v,[record],,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,records,n,[record],,,,,,,,,,,,,,,,,,,,,,,,,,,,
799,regional,j,[region],,,,,,,,,,,,,,,,,,,,,,,,,,,,
759,related,j,[relate],,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,released,v,"[release], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,remained,v,[remain],,,,,,,,,,,,,,,,,,,,,,,,,,,,
685,replaced,v,"[replace], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,reported,v,"[report], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
883,represented,v,"[represent], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
877,required,v,"[require], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,results,n,"[result], plural",,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,returned,v,[return],,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,rights,n,"[right], plural",,,,,,,,,,,,,,,,,,,,,,,,,,,,
869,roman,j,[rome],,,,,,,,,,,,,,,,,,,,,,,,,,,,
953,ran,v,"[run], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
859,running,v,"[run], present",,,,,,,,,,,,,,,,,,,,,,,,,,,,
843,runs,v,"[run], singular",,,,,,,,,,,,,,,,,,,,,,,,,,,,
744,russian,j,[russia],,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,said,v,[say],,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,schools,n,[school],,,,,,,,,,,,,,,,,,,,,,,,,,,,
774,scored,v,"[score], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,seen,v,"[see], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
715,saw,v,"[see], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
931,selected,v,"[select], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,sold,v,"[sell], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,sent,v,"[send], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,served,v,[serve],,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,services,n,"[service], plural",,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,her,a,"[she], possessive",1,1,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,0
704,shows,n,"[show], plural",,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,signed,v,[sign],,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,songs,n,[song],,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,southern,j,[south],,,,,,,,,,,,,,,,,,,,,,,,,,,,
927,soviet,j,[soviet union],,,,,,,,,,,,,,,,,,,,,,,,,,,,
813,spanish,j,[spain],,,,,,,,,,,,,,,,,,,,,,,,,,,,
875,spent,v,"[spend], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
687,sports,n,"[sport], plural",,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,started,v,[start],,,,,,,,,,,,,,,,,,,,,,,,,,,,
989,starting,v,"[start], present",,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,stated,v,"[state], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,states,n,"[state], plural",,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,st,n,[street],,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,students,n,"[student], plural",,,,,,,,,,,,,,,,,,,,,,,,,,,,
958,studied,v,"[study], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,studies,v,"[study], singular",,,,,,,,,,,,,,,,,,,,,,,,,,,,
948,subsequently,r,[subsequent],,,,,,,,,,,,,,,,,,,,,,,,,,,,
747,successful,j,[success],,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,supported,v,"[support], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
723,systems,n,[system],,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,taken,v,[take],,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,took,v,"[take], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,taking,v,"[take], present",,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,teams,n,[team],,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,tv,n,[television],,,,,,,,,,,,,,,,,,,,,,,,,,,,
975,terms,n,"[term], plural",,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,them,p,[they],,1,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
31,their,a,"[they], possessive",1,1,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
89,these,d,"[this], plural",,0,1,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
286,times,n,"[time], plural",,,,,,,,,,,,,,,,,,,,,,,,,,,,
837,towards,v,"[toward], singular",,,,,,,,,,,,,,,,,,,,,,,,,,,,
773,units,n,"[unit], plural",,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,united,a,"[unite], adjective",,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,using,v,[use],,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,used,v,"[use], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,western,a,[west],,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,would,v,"[will], past",1,0,0,,,,,0,0,0,1,0,1,0,0,0,0,,,,,,,,,,0,0
139,won,v,"[win], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
681,winning,r,"[win], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,women,n,"[woman], plural",,,,,,,,,,,,,,,,,,,,,,,,,,,,
733,women's,a,"[woman], possessive, plural",,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,works,v,[work],,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,worked,v,[work],,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,working,v,[work],,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,wrote,v,[write],,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,written,v,[write],,,,,,,,,,,,,,,,,,,,,,,,,,,,
701,writing,v,"[write], present",,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,years,n,"[year], plural",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,law,n,abstract,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,1
311,art,n,abstract,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,-1
320,power,n,abstract,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
36,new,j,adjective,1,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0
157,international,j,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0
161,general,j,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0
189,long,j,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0
202,local,j,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0
209,final,j,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0
97,well,r,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0
106,early,j,"adjective, [-late]",,0,0,,,,,0,0,0,1,0,0,1,0,0,0,,,,,,,,,,0,0
113,high,j,"adjective, [-low]",,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0
25,also,r,adverb,1,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
58,only,r,adverb,1,0,0,,,,,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,0,0
69,out,r,adverb,1,0,0,,,,,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,0
70,then,r,adverb,1,0,0,,,,,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,0,0
107,however,r,adverb,1,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
147,so,r,adverb,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
38,not,x,adverb,1,0,0,,,,,0,0,0,0,0,0,0,0,0,-1,,,,,,,,,,0,0
65,where,c,"adverb, location",1,0,0,,,,,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,0
47,when,c,"adverb, time",1,0,0,,,,,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,0,0
159,now,r,"adverb, time",,0,0,,,,,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,0,0
894,paris,n,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970,chicago,n,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,and,c,conjunction,1,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
11,as,c,conjunction,1,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
111,until,c,conjunction,1,0,0,,,,,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,0,0
117,since,c,conjunction,1,0,0,,,,,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,0,0
179,if,c,conjunction,1,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
182,because,c,conjunction,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
235,although,c,conjunction,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
420,though,c,conjunction,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
30,or,c,conjunctive,1,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
35,but,c,conjunctive,1,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
78,while,c,"conjunctive, time",1,0,0,,,,,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,0,0
602,europe,n,continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,france,n,country,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,india,n,country,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,america,n,country,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,australia,n,country,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,canada,n,country,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,germany,n,country,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,uk,n,country,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675,china,n,country,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786,japan,n,country,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,ireland,n,country,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,the,a,determiner,1,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
6,a,a,determiner,1,0,0,,,,,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,0,0
74,such,d,determiner,1,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
102,both,d,determiner,1,0,0,,,,,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,0,0
144,same,d,determiner,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
145,each,d,determiner,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
213,another,d,determiner,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
230,former,d,determiner,,0,0,,,,,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,0,0
257,own,d,determiner,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
259,those,d,determiner,,0,1,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
295,what,d,determiner,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
304,much,d,determiner,,0,0,,,,,0,0,0,0,0,0,0,1,0.4,0,,,,,,,,,,0,0
395,few,d,determiner,,0,0,,,,,0,0,0,0,0,0,0,1,-0.4,0,,,,,,,,,,0,0
446,half,d,determiner,,0,0,,,,,0,0,0,0,0,0,0,1,0.5,0,,,,,,,,,,0,0
802,whose,d,determiner,,1,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
506,wife,n,"feminine, person",,1,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,0
98,i,n,"first person, singular, person",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,there,e,location,1,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
781,hill,n,location,,,,,,,,,,,,,,,,,,,,,,,,,,,,
792,bay,n,location,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821,africa,n,location,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983,mountain,n,location,,,,,,,,,,,,,,,,,,,,,,,,,,,,
988,highway,n,location,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,river,n,location,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,building,n,location,,0,1,,,,,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,-1
280,road,n,location,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
285,park,n,location,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,village,n,location,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,country,n,location,,0,0,,,,,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,0
333,land,n,location,,0,1,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,-1
334,street,n,location,,0,0,,,,,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,-1
