Rank,Word,POS,Person?,Object?,Plants?,Animals?,Location?,Time?,Process?,Action?,Quality?,"Superlative[0,0.3,0.6,1]","Negative/Neutral/Positive[-1,0,1]",Male/Female,Concrete/Abstract
138,never,r,0,0,0,0,0,1,0,0,0,0,0,0,0
139,become,v,0,0,0,0,0,0,0,0,0,0,0,0,0
140,between,i,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,0,0
141,high,j,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,0,0
142,really,r,0,0,0,0,0,0,0,0,0,0,0,0,0
143,something,p,0,0,0,0,0,0,0,0,0,0,0,0,0
144,most,r,0,0,0,0,0,0,0,0,0,0,0,0,0
145,another,d,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
146,much,d,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
147,family,n,1,0,0,0,0,0,0,0,0,0,0,0,-1
148,own,d,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
149,out,i,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,0,0
150,leave,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
151,put,v,0,0,0,0,0,0,0,1,0,0,0,0,0
152,old,j,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,0,0
153,while,c,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
154,mean,v,0,0,0,0,0,0,0,1,0,0,0,0,1
155,on,r,0,0,0,0,1,0,0,0,0,0,0,0,0
156,keep,v,0,0,0,0,0,0,0,1,0,0,0,0,0
157,student,n,1,0,0,0,0,0,0,0,0,0,0,0,-1
158,why,r,0,0,0,0,0,0,0,0,0,0,0,0,1
159,let,v,0,0,0,0,0,0,0,1,0,0,0,0,0
160,great,j,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,0,0
161,same,d,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
162,big,j,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,0,0
163,group,n,1,0,0,0,0,0,0,0,0,0,0,0,1
164,begin,v,0,0,0,0,0,0,0,1,0,0,0,0,0
165,seem,v,0,0,0,0,0,0,0,1,0,0,0,0,0
166,country,n,0,0,0,0,1,0,0,0,0,0,0,0,1
167,help,v,0,0,0,0,0,0,0,1,0,0,0,0,1
168,talk,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
169,where,c,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
170,turn,v,0,0,0,0,0,0,0,1,0,0,0,0,0
171,problem,n,0,0,0,0,0,0,0,0,0,0,0,0,1
172,every,a,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
173,start,v,0,0,0,0,0,0,0,1,0,0,0,0,0
174,hand,n,0,1,0,0,0,0,0,0,0,0,0,0,-1
175,might,v,0,0,0,0,0,0,0,0,0,0,0,0,0
176,American,j,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0
177,show,v,0,0,0,0,0,0,0,1,0,0,0,0,1
178,part,n,0,0,0,0,0,0,0,0,0,0,0,0,1
179,about,r,0,0,0,0,0,0,0,0,0,0,0,0,0
180,against,i,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,0,0
181,place,n,0,0,0,0,1,0,0,0,0,0,0,0,-1
182,over,r,0,0,0,0,0,0,0,0,0,0,0,0,0
183,such,d,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
184,again,r,0,0,0,0,0,1,0,0,0,0,0,0,0
185,few,d,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
186,case,n,0,0,0,0,0,0,0,0,0,0,0,0,1
187,most,d,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0
188,week,n,0,0,0,0,0,1,0,0,0,0,0,0,1
189,company,n,0,0,0,0,0,0,0,0,0,0,0,0,1
190,where,r,0,0,0,0,1,0,0,0,0,0,0,0,0
191,system,n,0,0,0,0,0,0,0,0,0,0,0,0,1
192,each,d,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
193,right,r,0,0,0,0,1,0,0,0,0,0,0,0,0
194,program,n,0,0,0,0,0,0,0,0,0,0,0,0,1
195,hear,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
196,so,c,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
197,question,n,0,0,0,0,0,0,0,0,0,0,0,0,1
198,during,i,-1,-1,-1,-1,-1,1,-1,-1,-1,0,0,0,0
199,work,n,0,0,0,0,0,0,0,0,0,0,0,0,1
200,play,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
201,government,n,0,0,0,0,0,0,0,0,0,0,0,0,1
202,run,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
203,small,j,-1,-1,-1,-1,-1,-1,-1,-1,1,0.3,0,0,0
204,number,n,0,0,0,0,0,0,0,0,0,0,0,0,1
205,off,r,0,0,0,0,1,0,0,0,0,0,0,0,0
206,always,r,0,0,0,0,0,1,0,0,0,0,0,0,0
207,move,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
208,like,v,0,0,0,0,0,0,0,1,0,0,0,0,1
209,night,n,0,0,0,0,0,1,0,0,0,0,0,0,0
210,live,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
211,Mr,n,1,0,0,0,0,0,0,0,0,0,0,-1,-1
212,point,n,0,0,0,0,0,0,0,0,0,0,0,0,1
213,believe,v,0,0,0,0,0,0,0,1,0,0,0,0,1
214,hold,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
215,today,r,0,0,0,0,0,1,0,0,0,0,0,0,0
216,bring,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
217,happen,v,0,0,0,0,0,0,0,0,0,0,0,0,0
218,next,m,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
219,without,i,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
220,before,i,-1,-1,-1,-1,-1,1,-1,-1,-1,0,0,0,0
221,large,j,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,0,0
222,all,r,0,0,0,0,0,0,0,0,0,0,0,0,0
223,million,m,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
224,must,v,0,0,0,0,0,0,0,1,0,0,0,0,0
225,home,n,0,1,0,0,0,0,0,0,0,0,0,0,-1
226,under,i,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,0,0
227,water,n,0,1,0,0,0,0,0,0,0,0,0,0,-1
228,room,n,0,1,0,0,0,0,0,0,0,0,0,0,0
229,write,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
230,mother,n,1,0,0,0,0,0,0,0,0,0,0,1,0
231,area,n,0,0,0,0,1,0,0,0,0,0,0,0,-1
232,national,j,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0
233,money,n,0,0,0,0,0,0,0,0,0,0,0,0,1
234,story,n,0,0,0,0,0,0,0,0,0,0,0,0,1
235,young,j,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,0,0
236,fact,n,0,0,0,0,0,0,0,0,0,0,0,0,1
237,month,n,0,0,0,0,0,1,0,0,0,0,0,0,1
238,different,j,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,0,0
239,lot,n,0,0,0,0,1,0,0,0,0,0,0,0,-1
240,right,n,0,0,0,0,0,0,0,0,0,0,0,0,1
241,study,n,0,0,0,0,1,0,0,0,0,0,0,0,-1
242,book,n,0,1,0,0,0,0,0,0,0,0,0,0,-1
243,eye,n,0,1,0,0,0,0,0,0,0,0,0,0,-1
244,job,n,0,0,0,0,0,0,0,0,0,0,0,0,1
245,word,n,0,0,0,0,0,0,0,0,0,0,0,0,1
246,though,c,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
247,business,n,0,0,0,0,0,0,0,0,0,0,0,0,1
248,issue,n,0,0,0,0,0,0,0,0,0,0,0,0,1
249,side,n,0,0,0,0,1,0,0,0,0,0,0,0,0
250,kind,n,0,0,0,0,0,0,0,0,0,0,0,0,1
251,four,m,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
252,head,n,0,1,0,0,0,0,0,0,0,0,0,0,-1
253,far,r,0,0,0,0,1,0,0,0,0,0,0,0,0
254,black,j,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0
255,long,j,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,0,0
256,both,d,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
257,little,j,-1,-1,-1,-1,-1,-1,-1,-1,1,0.3,-1,0,0
258,house,n,0,1,0,0,0,0,0,0,0,0,0,0,-1
259,yes,u,0,0,0,0,0,0,0,0,0,0,0,0,0
260,after,c,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
261,since,c,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
262,long,r,0,0,0,0,0,1,0,0,0,0,0,0,0
263,provide,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
264,service,n,0,0,0,0,0,0,0,0,0,0,0,0,1
265,around,i,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
266,friend,n,1,0,0,0,0,0,0,0,0,0,0,0,0
267,important,j,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0
268,father,n,1,0,0,0,0,0,0,0,0,0,0,-1,-1
269,sit,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
270,away,r,0,0,0,0,0,0,0,0,0,0,0,0,0
271,until,c,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
272,power,n,0,0,0,0,0,0,0,0,0,0,0,0,1
273,hour,n,0,0,0,0,0,1,0,0,0,0,0,0,1
274,game,n,0,0,0,0,0,0,0,0,0,0,0,0,1
275,often,r,0,0,0,0,0,1,0,0,0,0,0,0,0
276,yet,r,0,0,0,0,0,1,0,0,0,0,0,0,0
277,line,n,0,1,0,0,0,0,0,0,0,0,0,0,-1
278,political,j,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0
279,end,n,0,0,0,0,0,0,0,0,0,0,0,0,1
280,among,i,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
281,ever,r,0,0,0,0,0,1,0,0,0,0,0,0,0
282,stand,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
283,bad,j,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,0,0
284,lose,v,0,0,0,0,0,0,0,1,0,0,0,0,0
285,however,r,0,0,0,0,0,0,0,0,0,0,0,0,0
286,member,n,0,0,0,0,0,0,0,0,0,0,0,0,1
287,pay,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
288,law,n,0,0,0,0,0,0,0,0,0,0,0,0,1
289,meet,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
290,car,n,0,1,0,0,0,0,0,0,0,0,0,0,-1
291,city,n,0,1,0,0,0,0,0,0,0,0,0,0,-1
292,almost,r,0,0,0,0,0,0,0,0,0,0,0,0,0
293,include,v,0,0,0,0,0,0,0,1,0,0,0,0,0
294,continue,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
295,set,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
296,later,r,0,0,0,0,0,1,0,0,0,0,0,0,0
297,community,n,0,1,0,0,0,0,0,0,0,0,0,0,1
298,much,r,0,0,0,0,0,0,0,0,0,0,0,0,0
299,name,n,0,0,0,0,0,0,0,0,0,0,0,0,1
300,five,m,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
301,once,r,0,0,0,0,0,1,0,0,0,0,0,0,0
302,white,j,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0
303,least,r,0,0,0,0,0,0,0,0,0,0,0,0,0
304,president,n,1,0,0,0,0,0,0,0,0,0,0,0,-1
305,learn,v,0,0,0,0,0,0,0,1,0,0,0,0,1
306,real,j,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,0,0
307,change,v,0,0,0,0,0,0,0,1,0,0,0,0,0
308,team,n,1,0,0,0,0,0,0,0,0,0,0,0,1
309,minute,n,0,0,0,0,0,0,0,0,0,0,0,0,1
310,best,j,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,0
311,several,d,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
312,idea,n,0,0,0,0,0,0,0,0,0,0,0,0,1
313,kid,n,1,0,0,0,0,0,0,0,0,0,0,0,-1
314,body,n,0,1,0,0,0,0,0,0,0,0,0,0,-1
315,information,n,0,0,0,0,0,0,0,0,0,0,0,0,1
316,nothing,p,0,0,0,0,0,0,0,0,0,0,0,0,0
317,ago,r,0,0,0,0,0,1,0,0,0,0,0,0,0
318,right,j,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,0,0
319,lead,v,0,0,0,0,0,0,0,1,0,0,0,0,0
320,social,j,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0
321,understand,v,0,0,0,0,0,0,0,1,0,0,0,0,1
322,whether,c,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
323,back,n,0,1,0,0,1,0,0,0,0,0,0,0,1
324,watch,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
325,together,r,0,0,0,0,0,0,0,0,0,0,0,0,0
326,follow,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
327,around,r,0,0,0,0,1,0,0,0,0,0,0,0,0
328,parent,n,1,0,0,0,0,0,0,0,0,0,0,0,-1
329,only,j,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0
330,stop,v,0,0,0,0,0,0,0,1,0,0,0,0,0
331,face,n,0,1,0,0,0,0,0,0,0,0,0,0,-1
332,anything,p,0,0,0,0,0,0,0,0,0,0,0,0,0
333,create,v,0,0,0,0,0,0,0,1,0,0,0,0,1
334,public,j,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0
335,already,r,0,0,0,0,0,1,0,0,0,0,0,0,0
336,speak,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
337,others,n,0,0,0,0,0,0,0,0,0,0,0,0,1
338,read,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
339,level,n,0,0,0,0,0,0,0,0,0,0,0,0,1
340,allow,v,0,0,0,0,0,0,0,1,0,0,0,0,1
341,add,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
342,office,n,0,1,0,0,0,0,0,0,0,0,0,0,-1
343,spend,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
344,door,n,0,1,0,0,0,0,0,0,0,0,0,0,-1
345,health,n,0,0,0,0,0,0,0,0,0,0,0,0,1
346,person,n,1,0,0,0,0,0,0,0,0,0,0,0,-1
347,art,n,0,0,0,0,0,0,0,0,0,0,0,0,-1
348,sure,j,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0
349,such,i,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
350,war,n,0,0,0,0,0,0,0,0,0,0,0,0,1
351,history,n,0,0,0,0,0,0,0,0,0,0,0,0,1
352,party,n,0,0,0,0,0,0,0,0,0,0,0,0,1
353,within,i,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,0,0
354,grow,v,0,0,0,0,0,0,0,0,0,0,0,0,-1
355,result,n,0,0,0,0,0,0,0,0,0,0,0,0,1
356,open,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
357,change,n,0,0,0,0,0,0,0,0,0,0,0,0,1
358,morning,n,0,0,0,0,0,1,0,0,0,0,0,0,1
359,walk,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
360,reason,n,0,0,0,0,0,0,0,0,0,0,0,0,1
361,low,j,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,0,0
362,win,v,0,0,0,0,0,0,0,1,0,0,0,0,1
363,research,n,0,0,0,0,0,0,0,0,0,0,0,0,1
364,girl,n,1,0,0,0,0,0,0,0,0,0,0,1,-1
365,guy,n,1,0,0,0,0,0,0,0,0,0,0,-1,-1
366,early,j,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,0,0
367,food,n,0,1,0,0,0,0,0,0,0,0,0,0,-1
368,before,c,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
369,moment,n,0,1,0,0,0,0,0,0,0,0,0,0,1
370,himself,p,1,0,0,0,0,0,0,0,0,0,0,-1,0
371,air,n,0,1,0,0,0,0,0,0,0,0,0,0,-1
372,teacher,n,1,0,0,0,0,0,0,0,0,0,0,0,-1
373,force,n,0,0,0,0,0,0,0,0,0,0,0,0,1
374,offer,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
375,enough,r,0,0,0,0,0,0,0,0,0,0,0,0,0
376,both,r,0,0,0,0,0,0,0,0,0,0,0,0,0
377,education,n,0,0,0,0,0,0,0,0,0,0,0,0,1
378,across,i,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,0,0
379,although,c,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
380,remember,v,0,0,0,0,0,0,0,1,0,0,0,0,1
381,foot,n,0,1,0,0,0,0,0,0,0,0,0,0,-1
382,second,m,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
383,boy,n,1,0,0,0,0,0,0,0,0,0,0,0,-1
384,maybe,r,0,0,0,0,0,0,0,0,0,0,0,0,0
385,toward,i,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,0,0
386,able,j,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0
387,age,n,0,0,0,0,0,0,0,0,0,0,0,0,1
388,off,i,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
389,policy,n,0,0,0,0,0,0,0,0,0,0,0,0,1
390,everything,p,0,0,0,0,0,0,0,0,0,0,0,0,0
391,love,v,0,0,0,0,0,0,0,1,0,0,0,0,1
392,process,n,0,0,0,0,0,0,0,0,0,0,0,0,1
393,music,n,0,0,0,0,0,0,0,0,0,0,0,0,1
394,including,i,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
395,consider,v,0,0,0,0,0,0,0,1,0,0,0,0,1
396,appear,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
397,actually,r,0,0,0,0,0,0,0,0,0,0,0,0,0
398,buy,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
399,probably,r,0,0,0,0,0,0,0,0,0,0,0,0,0
400,human,j,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0
401,wait,v,0,0,0,0,0,0,0,1,0,0,0,0,1
402,serve,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
403,market,n,0,0,0,0,0,0,0,0,0,0,0,0,1
404,die,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
405,send,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
406,expect,v,0,0,0,0,0,0,0,1,0,0,0,0,1
407,home,r,0,0,0,0,0,0,0,0,0,0,0,0,0
408,sense,n,0,0,0,0,0,0,0,0,0,0,0,0,1
409,build,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
410,stay,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
411,fall,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
412,oh,u,0,0,0,0,0,0,0,0,0,0,0,0,0
413,nation,n,0,0,0,0,0,0,0,0,0,0,0,0,1
414,plan,n,0,0,0,0,0,0,0,0,0,0,0,0,1
415,cut,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
416,college,n,0,0,0,0,0,0,0,0,0,0,0,0,-1
417,interest,n,0,0,0,0,0,0,0,0,0,0,0,0,1
418,death,n,0,0,0,0,0,0,1,0,0,0,-1,0,1
419,course,r,0,0,0,0,0,0,0,0,0,0,0,0,0
420,someone,p,0,0,0,0,0,0,0,0,0,0,0,0,0
421,experience,n,0,0,0,0,0,0,0,0,0,0,0,0,1
422,behind,i,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,0,0
423,reach,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
424,local,j,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0
425,kill,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
426,six,m,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
427,remain,v,0,0,0,0,0,0,0,1,0,0,0,0,1
428,effect,n,0,0,0,0,0,0,0,0,0,0,0,0,1
429,use,n,0,0,0,0,0,0,0,0,0,0,0,0,1
430,yeah,u,0,0,0,0,0,0,0,0,0,0,0,0,0
431,suggest,v,0,0,0,0,0,0,0,1,0,0,0,0,0
432,class,n,0,0,0,0,0,0,0,0,0,0,0,0,1
433,control,n,0,0,0,0,0,0,0,0,0,0,0,0,1
434,raise,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
435,care,n,0,0,0,0,0,0,0,0,0,0,0,0,1
436,perhaps,r,0,0,0,0,0,0,0,0,0,0,0,0,0
437,little,r,0,0,0,0,0,0,0,0,0,0,0,0,0
438,late,j,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,0,0
439,hard,j,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,0,0
440,field,n,0,0,0,0,0,0,0,0,0,0,0,0,-1
441,else,r,0,0,0,0,0,0,0,0,0,0,0,0,0
442,pass,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
443,former,d,-1,-1,-1,-1,-1,1,-1,-1,-1,0,0,0,0
444,sell,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
445,major,j,-1,-1,-1,-1,-1,-1,-1,-1,1,0.6,1,0,0
446,sometimes,r,0,0,0,0,0,0,0,0,0,0,0,0,0
447,require,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
448,along,i,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,0,0
449,development,n,0,0,0,0,0,0,0,0,0,0,0,0,1
450,themselves,p,0,0,0,0,0,0,0,0,0,0,0,0,0
451,report,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
452,role,n,0,0,0,0,0,0,0,0,0,0,0,0,1
453,better,j,-1,-1,-1,-1,-1,-1,-1,-1,1,0.6,1,0,0
454,economic,j,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0
455,effort,n,0,0,0,0,0,0,0,0,0,0,0,0,1
456,up,i,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,0,0
457,decide,v,0,0,0,0,0,0,0,1,0,0,0,0,1
458,rate,n,0,0,0,0,0,0,0,0,0,0,0,0,1
459,strong,j,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,0,0
460,possible,j,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,0,0
461,heart,n,0,1,0,0,0,0,0,0,0,0,0,0,-1
462,drug,n,0,1,0,0,0,0,0,0,0,0,0,0,-1
463,show,n,0,0,0,0,0,0,0,0,0,0,0,0,1
464,leader,n,1,0,0,0,0,0,0,0,0,0,0,0,-1
465,light,n,0,0,0,0,0,0,0,0,0,0,0,0,1
466,voice,n,0,0,0,0,0,0,0,0,0,0,0,0,1
467,wife,n,1,0,0,0,0,0,0,0,0,0,0,1,-1
468,whole,j,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
469,police,n,0,0,0,0,0,0,0,0,0,0,0,0,0
470,mind,n,0,0,0,0,0,0,0,0,0,0,0,0,1
471,finally,r,0,0,0,0,0,0,0,0,0,0,0,0,0
472,pull,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
473,return,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
474,free,j,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0
475,military,j,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0
476,price,n,0,0,0,0,0,0,0,0,0,0,0,0,1
477,report,n,0,0,0,0,0,0,0,0,0,0,0,0,1
478,less,r,0,0,0,0,0,0,0,0,0,0,0,0,0
479,according,i,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
480,decision,n,0,0,0,0,0,0,0,0,0,0,0,0,1
481,explain,v,0,0,0,0,0,0,0,1,0,0,0,0,1
482,son,n,1,0,0,0,0,0,0,0,0,0,0,-1,-1
483,hope,v,0,0,0,0,0,0,0,1,0,0,0,0,1
484,even,c,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
485,develop,v,0,0,0,0,0,0,0,1,0,0,0,0,0
486,view,n,0,0,0,0,0,0,0,0,0,0,0,0,1
487,relationship,n,0,0,0,0,0,0,0,0,0,0,0,0,1
488,carry,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
489,town,n,0,1,0,0,1,0,0,0,0,0,0,0,-1
490,road,n,0,1,0,0,0,0,0,0,0,0,0,0,-1
491,drive,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
492,arm,n,0,1,0,0,0,0,0,0,0,0,0,0,-1
493,TRUE,j,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0
494,federal,j,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0
495,break,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
496,better,r,0,0,0,0,0,0,0,0,0,0,0,0,0
497,difference,n,0,0,0,0,0,0,0,0,0,0,0,0,1
