,Rank,Word,POS,Person?,Object?,Plants?,Animals?,Location?,Time?,Process?,Action?,Quality?,"Superlative[0,0.3,0.6,1]","Negative/Neutral/Positive[-1,0,1]",Male/Female,Concrete/Abstract
254,255,long,j,z,z,z,z,z,z,z,z,x,0,1,0,0
452,453,better,j,z,z,z,z,z,z,z,z,x,0.6,1,0,0
309,310,best,j,z,z,z,z,z,z,z,z,x,1,1,0,0
437,438,late,j,z,z,z,z,z,z,z,z,x,0,-1,0,0
256,257,little,j,z,z,z,z,z,z,z,z,x,0.3,-1,0,0
282,283,bad,j,z,z,z,z,z,z,z,z,x,0,-1,0,0
305,306,real,j,z,z,z,z,z,z,z,z,x,0,1,0,0
458,459,strong,j,z,z,z,z,z,z,z,z,x,0,1,0,0
459,460,possible,j,z,z,z,z,z,z,z,z,x,0,1,0,0
220,221,large,j,z,z,z,z,z,z,z,z,x,0,1,0,0
231,232,national,j,z,z,z,z,z,z,z,z,x,0,0,0,0
319,320,social,j,z,z,z,z,z,z,z,z,x,0,0,0,0
301,302,white,j,z,z,z,z,z,z,z,z,x,0,0,0,0
474,475,military,j,z,z,z,z,z,z,z,z,x,0,0,0,0
438,439,hard,j,z,z,z,z,z,z,z,z,x,0,1,0,0
444,445,major,j,z,z,z,z,z,z,z,z,x,0.6,1,0,0
234,235,young,j,z,z,z,z,z,z,z,z,x,0,1,0,0
237,238,different,j,z,z,z,z,z,z,z,z,x,0,1,0,0
317,318,right,j,z,z,z,z,z,z,z,z,x,0,1,0,0
473,474,free,j,z,z,z,z,z,z,z,z,x,0,0,0,0
423,424,local,j,z,z,z,z,z,z,z,z,x,0,0,0,0
549,550,easy,j,z,z,z,z,z,z,z,z,x,0,-1,0,0
161,162,big,j,z,z,z,z,z,z,z,z,x,0,1,0,0
520,521,special,j,z,z,z,z,z,z,z,z,x,0,0,0,0
140,141,high,j,z,z,z,z,z,z,z,z,x,0,1,0,0
360,361,low,j,z,z,z,z,z,z,z,z,x,0,-1,0,0
151,152,old,j,z,z,z,z,z,z,z,z,x,0,-1,0,0
159,160,great,j,z,z,z,z,z,z,z,z,x,0,1,0,0
347,348,sure,j,z,z,z,z,z,z,z,z,x,0,0,0,0
503,504,full,j,z,z,z,z,z,z,z,z,x,0,1,0,0
385,386,able,j,z,z,z,z,z,z,z,z,x,0,0,0,0
109,110,good,j,z,z,z,z,z,z,z,z,x,0.3,1,0,0
365,366,early,j,z,z,z,z,z,z,z,z,x,0,1,0,0
399,400,human,j,z,z,z,z,z,z,z,z,x,0,0,0,0
175,176,American,j,z,z,z,z,z,z,z,z,x,0,0,0,0
500,501,international,j,z,z,z,z,z,z,z,z,x,0,0,0,0
129,130,last,m,z,z,z,z,z,z,z,z,z,0,0,0,0
217,218,next,m,z,z,z,z,z,z,z,z,z,0,0,0,0
299,300,five,m,z,z,z,z,z,z,z,z,z,0,0,0,0
381,382,second,m,z,z,z,z,z,z,z,z,z,0,0,0,0
134,135,three,m,z,z,z,z,z,z,z,z,z,0,0,0,0
250,251,four,m,z,z,z,z,z,z,z,z,z,0,0,0,0
425,426,six,m,z,z,z,z,z,z,z,z,z,0,0,0,0
222,223,million,m,z,z,z,z,z,z,z,z,z,0,0,0,0
276,277,line,n,0,1,0,0,0,0,0,0,0,0,0,0,-1
290,291,city,n,0,1,0,0,0,0,0,0,0,0,0,0,-1
370,371,air,n,0,1,0,0,0,0,0,0,0,0,0,0,-1
278,279,end,n,0,0,0,0,0,0,0,0,0,0,0,0,1
451,452,role,n,0,0,0,0,0,0,0,0,0,0,0,0,1
289,290,car,n,0,1,0,0,0,0,0,0,0,0,0,0,z
368,369,moment,n,0,1,0,0,0,0,0,0,0,0,0,0,x
296,297,community,n,0,1,0,0,0,0,0,0,0,0,0,0,x
298,299,name,n,0,0,0,0,0,0,0,0,0,0,0,0,x
392,393,music,n,0,0,0,0,0,0,0,0,0,0,0,0,x
460,461,heart,n,0,1,0,0,0,0,0,0,0,0,0,0,z
448,449,development,n,0,0,0,0,0,0,0,0,0,0,0,0,x
287,288,law,n,0,0,0,0,0,0,0,0,0,0,0,0,x
388,389,policy,n,0,0,0,0,0,0,0,0,0,0,0,0,x
386,387,age,n,0,0,0,0,0,0,0,0,0,0,0,0,x
402,403,market,n,0,0,0,0,0,0,0,0,0,0,0,0,x
382,383,boy,n,1,0,0,0,0,0,0,0,0,0,0,0,z
457,458,rate,n,0,0,0,0,0,0,0,0,0,0,0,0,x
380,381,foot,n,0,1,0,0,0,0,0,0,0,0,0,0,z
391,392,process,n,0,0,0,0,0,0,0,0,0,0,0,0,x
371,372,teacher,n,1,0,0,0,0,0,0,0,0,0,0,0,z
376,377,education,n,0,0,0,0,0,0,0,0,0,0,0,0,x
412,413,nation,n,0,0,0,0,0,0,0,0,0,0,0,0,x
413,414,plan,n,0,0,0,0,0,0,0,0,0,0,0,0,x
366,367,food,n,0,1,0,0,0,0,0,0,0,0,0,0,z
372,373,force,n,0,0,0,0,0,0,0,0,0,0,0,0,x
285,286,member,n,0,0,0,0,0,0,0,0,0,0,0,0,x
454,455,effort,n,0,0,0,0,0,0,0,0,0,0,0,0,x
407,408,sense,n,0,0,0,0,0,0,0,0,0,0,0,0,x
420,421,experience,n,0,0,0,0,0,0,0,0,0,0,0,0,x
439,440,field,n,0,0,0,0,0,0,0,0,0,0,0,0,z
303,304,president,n,1,0,0,0,0,0,0,0,0,0,0,0,z
548,549,situation,n,0,0,0,0,0,0,0,0,0,0,0,0,x
434,435,care,n,0,0,0,0,0,0,0,0,0,0,0,0,x
432,433,control,n,0,0,0,0,0,0,0,0,0,0,0,0,x
327,328,parent,n,1,0,0,0,0,0,0,0,0,0,0,0,z
346,347,art,n,0,0,0,0,0,0,0,0,0,0,0,0,z
345,346,person,n,1,0,0,0,0,0,0,0,0,0,0,0,z
431,432,class,n,0,0,0,0,0,0,0,0,0,0,0,0,x
330,331,face,n,0,1,0,0,0,0,0,0,0,0,0,0,z
428,429,use,n,0,0,0,0,0,0,0,0,0,0,0,0,x
344,345,health,n,0,0,0,0,0,0,0,0,0,0,0,0,x
343,344,door,n,0,1,0,0,0,0,0,0,0,0,0,0,z
427,428,effect,n,0,0,0,0,0,0,0,0,0,0,0,0,x
461,462,drug,n,0,1,0,0,0,0,0,0,0,0,0,0,z
336,337,others,n,0,0,0,0,0,0,0,0,0,0,0,0,x
341,342,office,n,0,1,0,0,0,0,0,0,0,0,0,0,z
322,323,back,n,0,1,0,0,1,0,0,0,0,0,0,0,x
349,350,war,n,0,0,0,0,0,0,0,0,0,0,0,0,x
350,351,history,n,0,0,0,0,0,0,0,0,0,0,0,0,x
351,352,party,n,0,0,0,0,0,0,0,0,0,0,0,0,x
363,364,girl,n,1,0,0,0,0,0,0,0,0,0,0,1,z
338,339,level,n,0,0,0,0,0,0,0,0,0,0,0,0,x
307,308,team,n,1,0,0,0,0,0,0,0,0,0,0,0,x
362,363,research,n,0,0,0,0,0,0,0,0,0,0,0,0,x
308,309,minute,n,0,0,0,0,0,0,0,0,0,0,0,0,x
415,416,college,n,0,0,0,0,0,0,0,0,0,0,0,0,z
359,360,reason,n,0,0,0,0,0,0,0,0,0,0,0,0,x
364,365,guy,n,1,0,0,0,0,0,0,0,0,0,0,-1,z
416,417,interest,n,0,0,0,0,0,0,0,0,0,0,0,0,x
356,357,change,n,0,0,0,0,0,0,0,0,0,0,0,0,x
311,312,idea,n,0,0,0,0,0,0,0,0,0,0,0,0,x
312,313,kid,n,1,0,0,0,0,0,0,0,0,0,0,0,z
313,314,body,n,0,1,0,0,0,0,0,0,0,0,0,0,z
314,315,information,n,0,0,0,0,0,0,0,0,0,0,0,0,x
417,418,death,n,0,0,0,0,0,0,1,0,0,0,-1,0,x
354,355,result,n,0,0,0,0,0,0,0,0,0,0,0,0,x
357,358,morning,n,0,0,0,0,0,1,0,0,0,0,0,0,x
273,274,game,n,0,0,0,0,0,0,0,0,0,0,0,0,x
247,248,issue,n,0,0,0,0,0,0,0,0,0,0,0,0,x
271,272,power,n,0,0,0,0,0,0,0,0,0,0,0,0,x
512,513,position,n,0,0,0,0,1,0,0,0,0,0,0,0,x
510,511,director,n,1,0,0,0,0,0,0,0,0,0,0,0,z
156,157,student,n,1,0,0,0,0,0,0,0,0,0,0,0,z
509,510,tax,n,0,0,0,0,0,0,0,0,0,0,0,0,x
162,163,group,n,1,0,0,0,0,0,0,0,0,0,0,0,x
507,508,society,n,1,0,0,0,0,0,0,0,0,0,0,0,x
506,507,season,n,0,0,0,0,0,0,0,0,0,0,0,0,x
165,166,country,n,0,0,0,0,1,0,0,0,0,0,0,0,x
504,505,model,n,0,0,0,0,0,0,0,0,0,0,0,0,x
502,503,action,n,0,0,0,0,0,0,0,0,0,0,0,0,x
170,171,problem,n,0,0,0,0,0,0,0,0,0,0,0,0,x
501,502,building,n,0,1,0,0,0,0,0,0,0,0,0,0,z
173,174,hand,n,0,1,0,0,0,0,0,0,0,0,0,0,z
499,500,value,n,0,0,0,0,0,0,0,0,0,0,0,0,x
177,178,part,n,0,0,0,0,0,0,0,0,0,0,0,0,x
496,497,difference,n,0,0,0,0,0,0,0,0,0,0,0,0,x
180,181,place,n,0,0,0,0,1,0,0,0,0,0,0,0,z
185,186,case,n,0,0,0,0,0,0,0,0,0,0,0,0,x
187,188,week,n,0,0,0,0,0,1,0,0,0,0,0,0,x
272,273,hour,n,0,0,0,0,0,1,0,0,0,0,0,0,x
190,191,system,n,0,0,0,0,0,0,0,0,0,0,0,0,x
491,492,arm,n,0,1,0,0,0,0,0,0,0,0,0,0,z
193,194,program,n,0,0,0,0,0,0,0,0,0,0,0,0,x
513,514,player,n,1,0,0,0,0,0,0,0,0,0,0,0,z
489,490,road,n,0,1,0,0,0,0,0,0,0,0,0,0,z
146,147,family,n,1,0,0,0,0,0,0,0,0,0,0,0,z
519,520,paper,n,0,1,0,0,0,0,0,0,0,0,0,0,z
546,547,oil,n,0,1,0,0,0,0,0,0,0,0,0,0,z
544,545,American,n,1,0,0,0,0,0,0,0,0,0,0,0,x
541,542,court,n,0,1,0,0,0,0,0,0,0,0,0,0,z
110,111,woman,n,1,0,0,0,0,0,0,0,0,0,0,1,z
113,114,life,n,0,0,0,0,0,0,1,0,0,0,1,0,x
114,115,child,n,1,0,0,0,0,0,0,0,0,0,0,0,z
540,541,need,n,0,0,0,0,0,0,0,0,0,0,0,0,x
539,540,table,n,0,1,0,0,0,0,0,0,0,0,0,0,z
538,539,star,n,1,1,0,0,0,0,0,0,0,0,0,0,z
537,538,activity,n,0,0,0,0,0,0,1,0,0,0,0,0,x
534,535,project,n,0,0,0,0,0,0,0,0,0,0,0,0,x
532,533,site,n,0,0,0,0,1,0,0,0,0,0,0,0,x
122,123,world,n,0,0,0,0,1,0,0,0,0,0,0,0,x
124,125,school,n,0,1,0,0,1,0,0,0,0,0,0,0,z
531,532,couple,n,1,0,0,0,0,0,0,0,0,0,0,0,x
530,531,center,n,0,0,0,0,1,0,0,0,0,0,0,0,x
528,529,matter,n,0,1,0,0,0,0,0,0,0,0,0,0,z
526,527,official,n,0,0,0,0,0,0,0,0,0,0,0,0,0
525,526,event,n,0,0,0,0,0,1,0,0,0,0,0,0,x
523,524,form,n,0,1,0,0,0,0,0,0,0,0,0,0,z
522,523,ground,n,0,1,0,0,0,0,0,0,0,0,0,0,z
136,137,state,n,0,0,0,0,1,0,0,0,0,0,0,0,z
521,522,space,n,0,0,0,0,0,0,0,0,0,0,0,0,z
516,517,record,n,0,0,0,0,0,0,0,0,0,0,0,0,x
196,197,question,n,0,0,0,0,0,0,0,0,0,0,0,0,x
188,189,company,n,0,0,0,0,0,0,0,0,0,0,0,0,x
488,489,town,n,0,1,0,0,1,0,0,0,0,0,0,0,z
232,233,money,n,0,0,0,0,0,0,0,0,0,0,0,0,x
233,234,story,n,0,0,0,0,0,0,0,0,0,0,0,0,x
198,199,work,n,0,0,0,0,0,0,0,0,0,0,0,0,x
236,237,month,n,0,0,0,0,0,1,0,0,0,0,0,0,x
238,239,lot,n,0,0,0,0,1,0,0,0,0,0,0,0,z
239,240,right,n,0,0,0,0,0,0,0,0,0,0,0,0,x
240,241,study,n,0,0,0,0,1,0,0,0,0,0,0,0,z
241,242,book,n,0,1,0,0,0,0,0,0,0,0,0,0,z
242,243,eye,n,0,1,0,0,0,0,0,0,0,0,0,0,z
243,244,job,n,0,0,0,0,0,0,0,0,0,0,0,0,x
244,245,word,n,0,0,0,0,0,0,0,0,0,0,0,0,x
230,231,area,n,0,0,0,0,1,0,0,0,0,0,0,0,z
246,247,business,n,0,0,0,0,0,0,0,0,0,0,0,0,x
249,250,kind,n,0,0,0,0,0,0,0,0,0,0,0,0,x
251,252,head,n,0,1,0,0,0,0,0,0,0,0,0,0,z
257,258,house,n,0,1,0,0,0,0,0,0,0,0,0,0,z
466,467,wife,n,1,0,0,0,0,0,0,0,0,0,0,1,z
465,466,voice,n,0,0,0,0,0,0,0,0,0,0,0,0,x
464,465,light,n,0,0,0,0,0,0,0,0,0,0,0,0,x
263,264,service,n,0,0,0,0,0,0,0,0,0,0,0,0,x
265,266,friend,n,1,0,0,0,0,0,0,0,0,0,0,0,0
267,268,father,n,1,0,0,0,0,0,0,0,0,0,0,-1,z
463,464,leader,n,1,0,0,0,0,0,0,0,0,0,0,0,z
462,463,show,n,0,0,0,0,0,0,0,0,0,0,0,0,x
248,249,side,n,0,0,0,0,1,0,0,0,0,0,0,0,0
229,230,mother,n,1,0,0,0,0,0,0,0,0,0,0,1,0
235,236,fact,n,0,0,0,0,0,0,0,0,0,0,0,0,x
485,486,view,n,0,0,0,0,0,0,0,0,0,0,0,0,x
210,211,Mr,n,1,0,0,0,0,0,0,0,0,0,0,-1,z
476,477,report,n,0,0,0,0,0,0,0,0,0,0,0,0,x
481,482,son,n,1,0,0,0,0,0,0,0,0,0,0,-1,z
208,209,night,n,0,0,0,0,0,1,0,0,0,0,0,0,0
475,476,price,n,0,0,0,0,0,0,0,0,0,0,0,0,x
486,487,relationship,n,0,0,0,0,0,0,0,0,0,0,0,0,x
469,470,mind,n,0,0,0,0,0,0,0,0,0,0,0,0,x
211,212,point,n,0,0,0,0,0,0,0,0,0,0,0,0,x
224,225,home,n,0,1,0,0,0,0,0,0,0,0,0,0,z
479,480,decision,n,0,0,0,0,0,0,0,0,0,0,0,0,x
226,227,water,n,0,1,0,0,0,0,0,0,0,0,0,0,z
227,228,room,n,0,1,0,0,0,0,0,0,0,0,0,0,0
200,201,government,n,0,0,0,0,0,0,0,0,0,0,0,0,x
468,469,police,n,0,0,0,0,0,0,0,0,0,0,0,0,0
203,204,number,n,0,0,0,0,0,0,0,0,0,0,0,0,x
331,332,anything,p,0,0,0,0,0,0,0,0,0,0,0,0,0
112,113,us,p,1,0,0,0,0,0,0,0,0,0,0,0,0
315,316,nothing,p,0,0,0,0,0,0,0,0,0,0,0,0,0
529,530,everyone,p,0,0,0,0,0,0,0,0,0,0,0,0,0
389,390,everything,p,0,0,0,0,0,0,0,0,0,0,0,0,0
449,450,themselves,p,0,0,0,0,0,0,0,0,0,0,0,0,0
105,106,her,p,1,0,0,0,0,0,0,0,0,0,0,1,0
142,143,something,p,0,0,0,0,0,0,0,0,0,0,0,0,0
103,104,one,p,0,0,0,0,0,0,0,0,0,0,0,0,0
419,420,someone,p,0,0,0,0,0,0,0,0,0,0,0,0,0
369,370,himself,p,1,0,0,0,0,0,0,0,0,0,0,-1,0
435,436,perhaps,r,0,0,0,0,0,0,0,0,0,0,0,0,0
511,512,early,r,0,0,0,0,0,0,0,0,0,0,0,0,0
495,496,better,r,0,0,0,0,0,0,0,0,0,0,0,0,0
406,407,home,r,0,0,0,0,0,0,0,0,0,0,0,0,0
398,399,probably,r,0,0,0,0,0,0,0,0,0,0,0,0,0
440,441,else,r,0,0,0,0,0,0,0,0,0,0,0,0,0
477,478,less,r,0,0,0,0,0,0,0,0,0,0,0,0,0
470,471,finally,r,0,0,0,0,0,0,0,0,0,0,0,0,0
445,446,sometimes,r,0,0,0,0,0,0,0,0,0,0,0,0,0
515,516,especially,r,0,0,0,0,0,0,0,0,0,0,0,0,0
418,419,course,r,0,0,0,0,0,0,0,0,0,0,0,0,0
436,437,little,r,0,0,0,0,0,0,0,0,0,0,0,0,0
396,397,actually,r,0,0,0,0,0,0,0,0,0,0,0,0,0
100,101,only,r,0,0,0,0,0,0,0,0,0,0,0,0,0
324,325,together,r,0,0,0,0,0,0,0,0,0,0,0,0,0
137,138,never,r,0,0,0,0,0,1,0,0,0,0,0,0,0
326,327,around,r,0,0,0,0,1,0,0,0,0,0,0,0,0
141,142,really,r,0,0,0,0,0,0,0,0,0,0,0,0,0
143,144,most,r,0,0,0,0,0,0,0,0,0,0,0,0,0
316,317,ago,r,0,0,0,0,0,1,0,0,0,0,0,0,0
205,206,always,r,0,0,0,0,0,1,0,0,0,0,0,0,0
302,303,least,r,0,0,0,0,0,0,0,0,0,0,0,0,0
154,155,on,r,0,0,0,0,1,0,0,0,0,0,0,0,0
300,301,once,r,0,0,0,0,0,1,0,0,0,0,0,0,0
297,298,much,r,0,0,0,0,0,0,0,0,0,0,0,0,0
295,296,later,r,0,0,0,0,0,1,0,0,0,0,0,0,0
157,158,why,r,0,0,0,0,0,0,0,0,0,0,0,0,1
291,292,almost,r,0,0,0,0,0,0,0,0,0,0,0,0,0
284,285,however,r,0,0,0,0,0,0,0,0,0,0,0,0,0
280,281,ever,r,0,0,0,0,0,1,0,0,0,0,0,0,0
275,276,yet,r,0,0,0,0,0,1,0,0,0,0,0,0,0
274,275,often,r,0,0,0,0,0,1,0,0,0,0,0,0,0
269,270,away,r,0,0,0,0,0,0,0,0,0,0,0,0,0
261,262,long,r,0,0,0,0,0,1,0,0,0,0,0,0,0
252,253,far,r,0,0,0,0,1,0,0,0,0,0,0,0,0
221,222,all,r,0,0,0,0,0,0,0,0,0,0,0,0,0
178,179,about,r,0,0,0,0,0,0,0,0,0,0,0,0,0
181,182,over,r,0,0,0,0,0,0,0,0,0,0,0,0,0
183,184,again,r,0,0,0,0,0,1,0,0,0,0,0,0,0
214,215,today,r,0,0,0,0,0,1,0,0,0,0,0,0,0
189,190,where,r,0,0,0,0,1,0,0,0,0,0,0,0,0
192,193,right,r,0,0,0,0,1,0,0,0,0,0,0,0,0
135,136,when,r,0,0,0,0,0,1,0,0,0,0,0,0,0
334,335,already,r,0,0,0,0,0,1,0,0,0,0,0,0,0
204,205,off,r,0,0,0,0,1,0,0,0,0,0,0,0,0
117,118,down,r,0,0,0,0,1,0,0,0,0,0,0,0,0
383,384,maybe,r,0,0,0,0,0,0,0,0,0,0,0,0,0
107,108,back,r,0,0,0,0,1,0,0,0,0,0,0,0,0
125,126,still,r,0,0,0,0,0,0,0,0,0,0,0,0,0
106,107,even,r,0,0,0,0,0,0,0,0,0,0,0,0,0
104,105,very,r,0,0,0,0,0,0,0,0,0,0,0,0,0
127,128,in,r,0,0,0,0,1,0,0,0,0,0,0,0,0
128,129,as,r,0,0,0,0,0,0,0,0,0,0,0,0,0
115,116,there,r,0,0,0,0,1,0,0,0,0,0,0,0,0
375,376,both,r,0,0,0,0,0,0,0,0,0,0,0,0,0
132,133,too,r,0,0,0,0,0,0,0,0,0,0,0,0,0
374,375,enough,r,0,0,0,0,0,0,0,0,0,0,0,0,0
258,259,yes,u,0,0,0,0,0,0,0,0,0,0,0,0,0
411,412,oh,u,0,0,0,0,0,0,0,0,0,0,0,0,0
429,430,yeah,u,0,0,0,0,0,0,0,0,0,0,0,0,0
498,499,receive,v,0,0,0,0,0,0,0,1,0,0,0,0,0
176,177,show,v,0,0,0,0,0,0,0,1,0,0,0,0,x
174,175,might,v,0,0,0,0,0,0,0,0,0,0,0,0,0
497,498,thank,v,0,0,0,0,0,0,0,1,0,0,0,0,0
524,525,support,v,0,0,0,0,0,0,0,1,0,0,0,0,x
543,544,eat,v,0,0,0,0,0,0,0,1,0,0,0,0,z
116,117,work,v,0,0,0,0,0,0,0,1,0,0,0,0,z
545,546,teach,v,0,0,0,0,0,0,0,1,0,0,0,0,z
102,103,tell,v,0,0,0,0,0,0,0,1,0,0,0,0,z
490,491,drive,v,0,0,0,0,0,0,0,1,0,0,0,0,z
194,195,hear,v,0,0,0,0,0,0,0,1,0,0,0,0,z
199,200,play,v,0,0,0,0,0,0,0,1,0,0,0,0,z
487,488,carry,v,0,0,0,0,0,0,0,1,0,0,0,0,z
201,202,run,v,0,0,0,0,0,0,0,1,0,0,0,0,z
542,543,produce,v,0,0,0,0,0,0,0,1,0,0,0,0,z
494,495,break,v,0,0,0,0,0,0,0,1,0,0,0,0,z
167,168,talk,v,0,0,0,0,0,0,0,1,0,0,0,0,z
172,173,start,v,0,0,0,0,0,0,0,1,0,0,0,0,0
138,139,become,v,0,0,0,0,0,0,0,0,0,0,0,0,0
131,132,need,v,0,0,0,0,0,0,0,0,0,0,0,0,x
130,131,ask,v,0,0,0,0,0,0,0,1,0,0,0,0,z
518,519,wear,v,0,0,0,0,0,0,0,1,0,0,0,0,z
517,518,pick,v,0,0,0,0,0,0,0,1,0,0,0,0,z
149,150,leave,v,0,0,0,0,0,0,0,1,0,0,0,0,z
514,515,agree,v,0,0,0,0,0,0,0,1,0,0,0,0,x
126,127,try,v,0,0,0,0,0,0,0,1,0,0,0,0,x
153,154,mean,v,0,0,0,0,0,0,0,1,0,0,0,0,x
121,122,call,v,0,0,0,0,0,0,0,1,0,0,0,0,z
118,119,may,v,0,0,0,0,0,0,0,0,0,0,0,0,0
533,534,end,v,0,0,0,0,0,0,0,1,0,0,0,0,0
155,156,keep,v,0,0,0,0,0,0,0,1,0,0,0,0,0
535,536,hit,v,0,0,0,0,0,0,0,1,0,0,0,0,0
536,537,base,v,0,0,0,0,0,0,0,1,0,0,0,0,0
158,159,let,v,0,0,0,0,0,0,0,1,0,0,0,0,0
163,164,begin,v,0,0,0,0,0,0,0,1,0,0,0,0,0
164,165,seem,v,0,0,0,0,0,0,0,1,0,0,0,0,0
505,506,join,v,0,0,0,0,0,0,0,1,0,0,0,0,0
166,167,help,v,0,0,0,0,0,0,0,1,0,0,0,0,1
133,134,feel,v,0,0,0,0,0,0,0,0,0,0,0,0,0
169,170,turn,v,0,0,0,0,0,0,0,1,0,0,0,0,0
120,121,should,v,0,0,0,0,0,0,0,0,0,0,0,0,0
150,151,put,v,0,0,0,0,0,0,0,1,0,0,0,0,0
397,398,buy,v,0,0,0,0,0,0,0,1,0,0,0,0,z
482,483,hope,v,0,0,0,0,0,0,0,1,0,0,0,0,x
329,330,stop,v,0,0,0,0,0,0,0,1,0,0,0,0,0
430,431,suggest,v,0,0,0,0,0,0,0,1,0,0,0,0,0
332,333,create,v,0,0,0,0,0,0,0,1,0,0,0,0,x
426,427,remain,v,0,0,0,0,0,0,0,1,0,0,0,0,x
335,336,speak,v,0,0,0,0,0,0,0,1,0,0,0,0,z
424,425,kill,v,0,0,0,0,0,0,0,1,0,0,0,0,z
337,338,read,v,0,0,0,0,0,0,0,1,0,0,0,0,z
422,423,reach,v,0,0,0,0,0,0,0,1,0,0,0,0,z
339,340,allow,v,0,0,0,0,0,0,0,1,0,0,0,0,x
340,341,add,v,0,0,0,0,0,0,0,1,0,0,0,0,z
342,343,spend,v,0,0,0,0,0,0,0,1,0,0,0,0,z
353,354,grow,v,0,0,0,0,0,0,0,0,0,0,0,0,z
355,356,open,v,0,0,0,0,0,0,0,1,0,0,0,0,z
